posttime,street_name,price,fulladdress,floorInfo,area,cases_name,layout,id,room,social_house,addr_number_name,address_img,address_img_title,alley_name,allfloor,balcony_area,browsenum,browsenum_all,cartplace,cases_id,comment_total,comment_unread,condition,cover,distance,filename,floor,floor2,address,groundarea,hasimg,house_img,houseage,houseimg,housetype,icon_class,icon_name,houseid,is_combine,isvip,kind,kind_name,kind_name_img,lane_name,layout_str,linkman,living,ltime,nick_name,onepxImg,photoNum,post_id,price_hide,refreshtime,section_name,sectionname,shape,space_type_str,status,storeprice,streetid,type,unit,updatetime,user_id,addInfo,addition2,addition3,addition4,browsenum_name,checkstatus,closed,comment_class,comment_ltime,mainarea,mvip,new_img,new_list_comment_total,photo_alt,region_name,regionid,regionname,search_name,sectionid,vipBorder,vipimg,vipstyle
2小時內,大義路,"22,000",大義路北大中心優質二房~,樓層：6/19,28,萬寶隆,2房2廳1衛,10934048,2,0,,北大中心優質二房~,北大中心優質二房~,,19,,44,261,,52524,1,1,"tv,icebox,cold,washer,hotwater,naturalgas,cook,trabus,balcony_1,bed,wardrobe,sofa,bookTable,chair,all_sex",https://images.591.com.tw/index/house/newVersion/noImgBigNew.png,0,https://images.591.com.tw/index/house/newVersion/noImgBigNew.png,6,0,大義路北大中心優質二房~,,0,",",0,,3,rent,出租,https://sale.591.com.tw/home/house/detail/2/10934048.html,0,1,1,整層住家,整層住家,,"<span class=""layout"">2房2廳1衛</span>，</span>",呂小姐,"advstore,park,school",2021-05-26 08:51:28,仲介 呂小姐,,0,10934048,price-hide,1621987202,三峽區,三峽區,2,,,0,26693,1,元/月,1621583911,1215975,"<img src=""./images/index/userCenter/list_vip_v1.png""  border=""0"" align=""absmiddle"" class=""vipimg"" alt=""VIP物件"" title=""VIP物件""/>",0,0,0,昨日瀏覽,1,0,,1621960148,,0,,1,"新北租屋,三峽租屋,整層住家出租,北大中心優質二房~",新北市,3,新北市,,40,vipStyle,"<img src=""./images/index/userCenter/list_vip_v1.png""  border=""0"" align=""absmiddle"" class=""vipimg"" alt=""VIP物件"" title=""VIP物件""/>",isvip
17小時內,學成路,"18,000",學成路事故屋心六藝2房車含管18000,樓層：15/15,29.8,心六藝,2房2廳1衛,10833082,2,0,,事故屋心六藝2房車含管18000,事故屋心六藝2房車含管18000,,15,,134,3240,,39079,0,0,"cold,hotwater,lift,naturalgas,cartplace,cook,balcony_1,wardrobe,all_sex",https://hp2.591.com.tw/house/active/2021/04/28/161957999967525205_210x158.crop.jpg,0,https://hp2.591.com.tw/house/active/2021/04/28/161957999967525205_210x158.crop.jpg,15,0,學成路事故屋心六藝2房車含管..,,1,"207797750,207797755,207797753,207797757,207797760,207797762,207797751,207797765,207797839,",0,,3,rent,出租,https://sale.591.com.tw/home/house/detail/2/10833082.html,0,0,1,整層住家,整層住家,,"<span class=""layout"">2房2廳1衛</span>，</span>",楊先生,"advstore,park,school",2021-05-26 08:59:42,仲介 楊先生,,9,10833082,price-hide,1621934124,樹林區,樹林區,2,,,0,64613,1,元/月,1621934124,266455,,0,0,0,昨日瀏覽,0,0,none,0,,0,,0,"新北租屋,樹林租屋,整層住家出租,事故屋心六藝2房車含管18000",新北市,3,新北市,,41,,,
23小時內,學府路,"26,000",學府路千代田南面2+1房*小巢希望團隊*宏奇,樓層：4/15,25,竹城千代田,3房2廳2衛,10910788,3,0,,千代田南面2+1房*小巢希望團隊*宏奇,千代田南面2+1房*小巢希望團隊*宏奇,,15,,28,239,,31827,0,0,"cold,washer,hotwater,lift,naturalgas,cartplace,cook,balcony_1,wardrobe,all_sex",https://hp1.591.com.tw/house/active/2021/05/14/162098656835440403_210x158.crop.jpg,0,https://hp1.591.com.tw/house/active/2021/05/14/162098656835440403_210x158.crop.jpg,4,0,學府路千代田南面2+1房*小巢..,,1,"209640066,209640091,209640068,209640096,209640069,209640084,209640064,209640090,209640072,209640089,209640071,",0,,3,rent,出租,https://sale.591.com.tw/home/house/detail/2/10910788.html,0,0,1,整層住家,整層住家,,"<span class=""layout"">3房2廳2衛</span>，</span>",孫先生,"advstore,market,night,park,school,hospital",2021-05-26 05:33:41,仲介 孫先生,,11,10910788,price-hide,1621909336,樹林區,樹林區,2,,,0,65047,1,元/月,1621909336,1724187,,0,0,0,昨日瀏覽,0,0,none,0,,0,,0,"新北租屋,樹林租屋,整層住家出租,千代田南面2+1房*小巢希望團隊*宏奇",新北市,3,新北市,,41,,,
23小時內,學勤路,"22,000",學勤路哈佛二房*小巢希望團隊*宏奇,樓層：13/27,29,大學哈佛,2房2廳1衛,10927755,2,0,,哈佛二房*小巢希望團隊*宏奇,哈佛二房*小巢希望團隊*宏奇,,27,,35,259,,4183,0,0,"icebox,cold,washer,hotwater,lift,naturalgas,cook,balcony_1,all_sex",https://hp1.591.com.tw/house/active/2021/04/26/161942050167497102_210x158.crop.jpg,0,https://hp1.591.com.tw/house/active/2021/04/26/161942050167497102_210x158.crop.jpg,13,0,學勤路哈佛二房*小巢希望團隊..,,1,"210095738,210095739,210095740,210095741,210095742,210095743,210095744,210095745,",0,,3,rent,出租,https://sale.591.com.tw/home/house/detail/2/10927755.html,0,0,1,整層住家,整層住家,,"<span class=""layout"">2房2廳1衛</span>，</span>",孫先生,"advstore,market,night,park,school,hospital",2021-05-26 09:00:03,仲介 孫先生,,8,10927755,price-hide,1621909318,樹林區,樹林區,2,,,0,64292,1,元/月,1621418390,1724187,,0,0,0,昨日瀏覽,1,0,none,0,,0,,0,"新北租屋,樹林租屋,整層住家出租,哈佛二房*小巢希望團隊*宏奇",新北市,3,新北市,,41,,,
23小時內,學府路,"26,000",學府路千代田方正採光2+1房,樓層：4/15,42.5,竹城千代田,3房2廳2衛,10933984,3,0,,千代田方正採光2+1房,千代田方正採光2+1房,,15,,27,164,,31827,0,0,"cold,washer,hotwater,lift,naturalgas,cartplace,cook,balcony_1,wardrobe,all_sex",https://hp1.591.com.tw/house/active/2021/05/21/162158298117139103_210x158.crop.jpg,0,https://hp1.591.com.tw/house/active/2021/05/21/162158298117139103_210x158.crop.jpg,4,0,學府路千代田方正採光2+1房,,1,"210233063,210233062,210233048,210233051,210233050,210233053,210233057,210233055,210233059,210233061,210233065,",0,,3,rent,出租,https://sale.591.com.tw/home/house/detail/2/10933984.html,0,0,1,整層住家,整層住家,,"<span class=""layout"">3房2廳2衛</span>，</span>",孫先生,"advstore,market,night,park,school,hospital",2021-05-26 06:47:57,仲介 孫先生,,11,10933984,price-hide,1621909299,樹林區,樹林區,2,,,0,65047,1,元/月,1621909299,1724187,,0,0,0,昨日瀏覽,0,0,none,0,,0,,0,"新北租屋,樹林租屋,整層住家出租,千代田方正採光2+1房",新北市,3,新北市,,41,,,
3天前,學府路,"27,000",學府路永慶宥彤★千代田簡配2+1★喜歡就來談,樓層：4/13,25,竹城千代田,3房2廳1衛,10911230,3,0,,永慶宥彤★千代田簡配2+1★喜歡就來談,永慶宥彤★千代田簡配2+1★喜歡就來談,,13,,11,145,,31827,0,0,"cold,washer,hotwater,naturalgas,cartplace,cook,balcony_1,wardrobe,all_sex",https://hp2.591.com.tw/house/active/2021/05/14/162099231687150600_210x158.crop.jpg,0,https://hp2.591.com.tw/house/active/2021/05/14/162099231687150600_210x158.crop.jpg,4,0,學府路永慶宥彤★千代田簡配2+..,,1,"209653152,209653154,209653151,209653156,209653158,209653167,209653159,209653160,209653162,209653163,209653165,",0,,3,rent,出租,https://sale.591.com.tw/home/house/detail/2/10911230.html,0,0,1,整層住家,整層住家,,"<span class=""layout"">3房2廳1衛</span>，</span>",林小姐,"advstore,park,school",2021-05-26 01:36:10,仲介 林小姐,,11,10911230,price-hide,1621763118,樹林區,樹林區,2,,,0,65047,1,元/月,1621129066,78657,,0,0,0,昨日瀏覽,0,0,none,0,,0,,0,"新北租屋,樹林租屋,整層住家出租,永慶宥彤★千代田簡配2+1★喜歡就來談",新北市,3,新北市,,41,,,
5天前,學成路,"23,000",學成路心六藝兩房＋車位,樓層：14/15,22,心六藝,2房1廳1衛,10934902,2,0,,心六藝兩房＋車位,心六藝兩房＋車位,,15,,87,573,,39079,2,1,"cold,hotwater,lift,naturalgas,landpost,cartplace,pet,cook,balcony_1,wardrobe,all_sex",https://hp2.591.com.tw/house/active/2021/05/21/162159957595849808_210x158.crop.jpg,0,https://hp2.591.com.tw/house/active/2021/05/21/162159957595849808_210x158.crop.jpg,14,0,學成路心六藝兩房＋車位,,1,"210257570,210257571,210257568,210257573,210257569,210257572,210257574,210257576,210257575,210257577,210257578,210257579,",0,,1,rent,出租,https://sale.591.com.tw/home/house/detail/2/10934902.html,0,0,1,整層住家,整層住家,,"<span class=""layout"">2房1廳1衛</span>，</span>",盛小姐,"advstore,park,school",2021-05-26 09:01:05,屋主 盛小姐,,12,10934902,price-hide,1621600681,樹林區,樹林區,2,,,0,64613,1,元/月,1621600681,3266283,,0,0,0,昨日瀏覽,1,0,,1621655707,,0,,2,"新北租屋,樹林租屋,整層住家出租,心六藝兩房＋車位",新北市,3,新北市,,41,,,
6天前,大義路,"20,500",大義路哲里3改2大二房.採光佳❤婕睿,樓層：5/15,22.3,哲里,2房2廳2衛,10888763,2,0,,哲里3改2大二房.採光佳❤婕睿,哲里3改2大二房.採光佳❤婕睿,,15,,40,726,,7593,2,1,"cold,hotwater,lift,naturalgas,cook,trabus,balcony_1,all_sex",https://hp2.591.com.tw/house/active/2021/05/10/162061773534711906_210x158.crop.jpg,0,https://hp2.591.com.tw/house/active/2021/05/10/162061773534711906_210x158.crop.jpg,5,0,大義路哲里3改2大二房..,,1,"209110703,209111342,209110719,209110709,209110701,209110698,209110699,209110710,209110717,209110722,209110718,209110724,",0,,3,rent,出租,https://sale.591.com.tw/home/house/detail/2/10888763.html,0,0,1,整層住家,整層住家,,"<span class=""layout"">2房2廳2衛</span>，</span>",洪婕睿,"advstore,market,park,school",2021-05-26 09:01:57,仲介 洪婕睿,,12,10888763,price-hide,1621496964,樹林區,樹林區,2,,,0,64378,1,元/月,1620615813,165344,,0,0,0,昨日瀏覽,1,0,,1620987309,,0,,2,"新北租屋,樹林租屋,整層住家出租,哲里3改2大二房.採光佳❤婕睿",新北市,3,新北市,,41,,,
7天前,學府路,"27,000",學府路千代田南面2+1房*小巢希望團隊~林祺洪,樓層：4/15,25,竹城千代田,3房2廳2衛,10925726,3,0,,千代田南面2+1房*小巢希望團隊~林祺洪,千代田南面2+1房*小巢希望團隊~林祺洪,,15,,9,112,,31827,0,0,"cold,washer,hotwater,lift,naturalgas,cartplace,cook,balcony_1,wardrobe,all_sex",https://hp1.591.com.tw/house/active/2021/05/19/162138967858980407_210x158.crop.jpg,0,https://hp1.591.com.tw/house/active/2021/05/19/162138967858980407_210x158.crop.jpg,4,0,學府路千代田南面2+1房*小巢..,,1,"210039559,210039558,210039557,210039563,210039561,210039560,210039566,210039565,210039568,210039571,210039569,",0,,3,rent,出租,https://sale.591.com.tw/home/house/detail/2/10925726.html,0,0,1,整層住家,整層住家,,"<span class=""layout"">3房2廳2衛</span>，</span>",林先生,,2021-05-25 19:42:52,仲介 林先生,,11,10925726,price-hide,1621391343,樹林區,樹林區,2,,,0,65047,1,元/月,1621390798,3245563,,0,0,0,昨日瀏覽,1,0,none,0,,0,,0,"新北租屋,樹林租屋,整層住家出租,千代田南面2+1房*小巢希望團隊~林祺洪",新北市,3,新北市,,41,,,
9天前,學府路,"27,000",學府路彥甫推薦千代田2+1房小巢希望團隊,樓層：4/15,25,竹城千代田,3房2廳1衛,10918922,3,0,,彥甫推薦千代田2+1房小巢希望團隊,彥甫推薦千代田2+1房小巢希望團隊,,15,,11,117,,31827,0,0,"cold,washer,hotwater,lift,naturalgas,cartplace,cook,balcony_1,wardrobe,all_sex",https://hp1.591.com.tw/house/active/2021/05/17/162122300309405184_210x158.crop.jpg,0,https://hp1.591.com.tw/house/active/2021/05/17/162122300309405184_210x158.crop.jpg,4,0,學府路彥甫推薦千代田2+1房小..,,1,"209858572,209858573,209858574,209858575,209858576,209858577,209858578,209858579,209858580,209858581,209858582,",0,,3,rent,出租,https://sale.591.com.tw/home/house/detail/2/10918922.html,0,0,1,整層住家,整層住家,,"<span class=""layout"">3房2廳1衛</span>，</span>",何先生,"advstore,park,school",2021-05-26 02:22:38,仲介 何先生,,11,10918922,price-hide,1621223046,樹林區,樹林區,2,,,0,65047,1,元/月,1621222809,39630,,0,0,0,昨日瀏覽,1,0,none,0,,0,,0,"新北租屋,樹林租屋,整層住家出租,彥甫推薦千代田2+1房小巢希望團隊",新北市,3,新北市,,41,,,
